Quantiles,Race,Education,Component,Value,Std Error,Value lower bound,Value upper bound
0.8,White,Medium Education,Sample,4.07148548305145,,,
0.8,White,Medium Education,Counterfactual,3.82967953606443,0.0032961815827239,3.82118913495384,3.83816993717503
0.8,White,Medium Education,Total,0.241805946987014,0.00503809969803587,0.228828662150613,0.254783231823416
0.8,White,Medium Education,Structural,0.204456939125615,0.00434650847457457,0.193261075228682,0.215652803022548
0.8,White,Medium Education,Characteristics,0.0373490078613994,0.00329256467631131,0.0288679232843267,0.045830092438472
0.9,White,Medium Education,Sample,4.24873872798368,,,
0.9,White,Medium Education,Counterfactual,3.96493495994382,0.00405244791688204,3.95449654584841,3.97537337403923
0.9,White,Medium Education,Total,0.283803768039865,0.00708951838738988,0.265542378829578,0.302065157250153
0.9,White,Medium Education,Structural,0.239136565362776,0.00685206978705613,0.221486803215314,0.256786327510237
0.9,White,Medium Education,Characteristics,0.0446672026770898,0.00381700023394139,0.0348352616228506,0.054499143731329
0.1,White,High Education,Sample,3.42525589584875,,,
0.1,White,High Education,Counterfactual,3.28919186291609,0.00534727503684601,3.27541819518204,3.30296553065013
0.1,White,High Education,Total,0.136064032932661,0.00733711781244604,0.117164869867772,0.15496319599755
0.1,White,High Education,Structural,0.0787972475907761,0.00644425989220752,0.0621979341207431,0.0953965610608091
0.1,White,High Education,Characteristics,0.0572667853418851,0.00447912811037123,0.0457293159008413,0.0688042547829289
0.2,White,High Education,Sample,3.59073780085396,,,
0.2,White,High Education,Counterfactual,3.45251931667627,0.00457755930018699,3.44072830529212,3.46431032806043
0.2,White,High Education,Total,0.138218484177689,0.00571678394156942,0.123493024578937,0.152943943776442
0.2,White,High Education,Structural,0.100286487225108,0.00461012601401106,0.0884115895451656,0.112161384905051
0.2,White,High Education,Characteristics,0.0379319969525809,0.00423886718343477,0.0270133986476378,0.0488505952575239
0.3,White,High Education,Sample,3.71657725772994,,,
0.3,White,High Education,Counterfactual,3.57137929787933,0.00411037310648521,3.56079167838313,3.58196691737554
0.3,White,High Education,Total,0.145197959850609,0.00536966807183804,0.131366611480838,0.159029308220381
0.3,White,High Education,Structural,0.115917662671128,0.00405820153292296,0.105464428242918,0.126370897099338
0.3,White,High Education,Characteristics,0.029280297179481,0.00409736715109704,0.0187261788042866,0.0398344155546754
0.4,White,High Education,Sample,3.83043230128238,,,
0.4,White,High Education,Counterfactual,3.6730411459076,0.00398667901968331,3.66277214126486,3.68331015055034
0.4,White,High Education,Total,0.157391155374778,0.00518456109565101,0.144036610978561,0.170745699770996
0.4,White,High Education,Structural,0.132327201608695,0.00406847030022266,0.121847516588763,0.142806886628627
0.4,White,High Education,Characteristics,0.0250639537660837,0.00391429074068051,0.0149814089736287,0.0351464985585387
0.5,White,High Education,Sample,3.93837301489685,,,
0.5,White,High Education,Counterfactual,3.76771191108058,0.00383743068509441,3.75782734467158,3.77759647748959
0.5,White,High Education,Total,0.170661103816266,0.00497795908660169,0.15783873092913,0.183483476703402
0.5,White,High Education,Structural,0.148309389326089,0.00407651058852782,0.137808993895932,0.158809784756247
0.5,White,High Education,Characteristics,0.0223517144901768,0.00371388956040651,0.0127853689303374,0.0319180600500163
0.6,White,High Education,Sample,4.04482198421381,,,
0.6,White,High Education,Counterfactual,3.86183106976449,0.0037715775549581,3.85211612977782,3.87154600975116
0.6,White,High Education,Total,0.182990914449317,0.00485227062112794,0.170492293594667,0.195489535303968
0.6,White,High Education,Structural,0.162904148744699,0.00413571005706042,0.15225126558874,0.173557031900657
0.6,White,High Education,Characteristics,0.0200867657046189,0.00357646866309365,0.0108743929189979,0.0292991384902398
0.7,White,High Education,Sample,4.15517697213358,,,
0.7,White,High Education,Counterfactual,3.95954328721313,0.00376153115769748,3.94985422503092,3.96923234939534
0.7,White,High Education,Total,0.195633684920446,0.00490096437736253,0.183009637261586,0.208257732579305
0.7,White,High Education,Structural,0.176625681166487,0.00463590493631573,0.164684381383058,0.188566980949916
0.7,White,High Education,Characteristics,0.0190080037539584,0.00333354218481563,0.0104213681096939,0.0275946393982229
0.8,White,High Education,Sample,4.28337652294185,,,
0.8,White,High Education,Counterfactual,4.07094861605089,0.00401148144024501,4.06061572460647,4.08128150749532
0.8,White,High Education,Total,0.21242790689096,0.00528832801270417,0.198806076629058,0.226049737152862
0.8,White,High Education,Structural,0.192999533122865,0.00507523990306632,0.179926581458006,0.206072484787724
0.8,White,High Education,Characteristics,0.0194283737680943,0.00348701824349366,0.0104464099944937,0.0284103375416948
0.9,White,High Education,Sample,4.44721364367799,,,
0.9,White,High Education,Counterfactual,4.22768723192349,0.00514602053844617,4.2144319614239,4.24094250242308
0.9,White,High Education,Total,0.219526411754497,0.00675088103013008,0.202137294572316,0.236915528936679
0.9,White,High Education,Structural,0.218190663600712,0.00691224509171228,0.200385900140168,0.235995427061257
0.9,White,High Education,Characteristics,0.00133574815378523,0.00405954175274463,-0.00912093845191465,0.0117924347594851
0.1,Nonwhite,Low Education,Sample,3.38047575253307,,,
0.1,Nonwhite,Low Education,Counterfactual,3.1272448070736,0.00490357822920322,3.11461402657857,3.13987558756862
0.1,Nonwhite,Low Education,Total,0.253230945459467,0.00662951851365598,0.236154437403572,0.270307453515362
0.1,Nonwhite,Low Education,Structural,0.119919143391567,0.00507560457522886,0.106845252393466,0.132993034389668
0.1,Nonwhite,Low Education,Characteristics,0.133311802067901,0.00490998688040699,0.120664513981308,0.145959090154493
0.2,Nonwhite,Low Education,Sample,3.44085493211015,,,
0.2,Nonwhite,Low Education,Counterfactual,3.21911501641825,0.00481965465286969,3.20670040873041,3.2315296241061
0.2,Nonwhite,Low Education,Total,0.221739915691898,0.00631480087892393,0.205474066541889,0.238005764841906
0.2,Nonwhite,Low Education,Structural,0.138324151108291,0.00468513873221733,0.126256033470654,0.150392268745928
0.2,Nonwhite,Low Education,Characteristics,0.0834157645836067,0.00492039848302105,0.0707416579859035,0.0960898711813098
0.3,Nonwhite,Low Education,Sample,3.51119772611981,,,
0.3,Nonwhite,Low Education,Counterfactual,3.30183804219631,0.00514424084121211,3.28858735589301,3.31508872849962
0.3,Nonwhite,Low Education,Total,0.209359683923492,0.00606200560365143,0.193744992251329,0.224974375595655
0.3,Nonwhite,Low Education,Structural,0.153126041494942,0.00442343349640852,0.141732031872593,0.164520051117291
0.3,Nonwhite,Low Education,Characteristics,0.0562336424285497,0.00525251911131894,0.0427040497841637,0.0697632350729356
0.4,Nonwhite,Low Education,Sample,3.58818778307581,,,
0.4,Nonwhite,Low Education,Counterfactual,3.38148058483253,0.00531793174623758,3.3677825004063,3.39517866925876
0.4,Nonwhite,Low Education,Total,0.206707198243274,0.00573639974048657,0.191931211694858,0.221483184791689
0.4,Nonwhite,Low Education,Structural,0.165957920567045,0.00437679128329701,0.154684053324012,0.177231787810079
0.4,Nonwhite,Low Education,Characteristics,0.0407492776762282,0.00539609004160216,0.0268498708224809,0.0546486845299754
0.5,Nonwhite,Low Education,Sample,3.6714046365039,,,
0.5,Nonwhite,Low Education,Counterfactual,3.46150365530137,0.00518353267511855,3.4481517599409,3.47485555066184
0.5,Nonwhite,Low Education,Total,0.209900981202527,0.00536328567715032,0.196086072792019,0.223715889613034
0.5,Nonwhite,Low Education,Structural,0.177000726898517,0.00431989855693458,0.165873405607206,0.188128048189827
0.5,Nonwhite,Low Education,Characteristics,0.03290025430401,0.00524339540564387,0.0193941627680589,0.0464063458399611
0.6,Nonwhite,Low Education,Sample,3.75990145230716,,,
0.6,Nonwhite,Low Education,Counterfactual,3.54432430739739,0.00496379772229231,3.53153841176742,3.55711020302736
0.6,Nonwhite,Low Education,Total,0.215577144909762,0.00503845405679721,0.202598947305679,0.228555342513845
0.6,Nonwhite,Low Education,Structural,0.18584661005343,0.00419571476685082,0.175039165007643,0.196654055099217
0.6,Nonwhite,Low Education,Characteristics,0.0297305348563319,0.00505493573569857,0.016709883260763,0.0427511864519008
0.7,Nonwhite,Low Education,Sample,3.86283524560964,,,
0.7,Nonwhite,Low Education,Counterfactual,3.63672404568235,0.00481379541594881,3.62432453038866,3.64912356097604
0.7,Nonwhite,Low Education,Total,0.22611119992728,0.00506417902440355,0.213066739197804,0.239155660656757
0.7,Nonwhite,Low Education,Structural,0.191678453444033,0.00419082270446837,0.180883609515886,0.202473297372181
0.7,Nonwhite,Low Education,Characteristics,0.034432746483247,0.00490666947130608,0.021794003476228,0.047071489490266
0.8,Nonwhite,Low Education,Sample,3.98532091766207,,,
0.8,Nonwhite,Low Education,Counterfactual,3.7431852438913,0.00495601683401277,3.73041939050137,3.75595109728123
0.8,Nonwhite,Low Education,Total,0.242135673770775,0.00568103396788548,0.227502300001839,0.256769047539711
0.8,Nonwhite,Low Education,Structural,0.200926980003943,0.00460817540767571,0.189057106752958,0.212796853254927
0.8,Nonwhite,Low Education,Characteristics,0.0412086937668321,0.00509505722499499,0.0280846960634315,0.0543326914702328
0.9,Nonwhite,Low Education,Sample,4.23121235350083,,,
0.9,Nonwhite,Low Education,Counterfactual,3.9107262600832,0.00552866582104674,3.89648536065181,3.92496715951458
0.9,Nonwhite,Low Education,Total,0.320486093417638,0.00701561041772369,0.302415078521382,0.338557108313894
0.9,Nonwhite,Low Education,Structural,0.238348897091897,0.00645507181657502,0.22172173395025,0.254976060233544
0.9,Nonwhite,Low Education,Characteristics,0.0821371963257409,0.00541017316989273,0.0682015137374572,0.0960728789140246
0.1,Nonwhite,Medium Education,Sample,3.25637312649235,,,
0.1,Nonwhite,Medium Education,Counterfactual,3.11401484426846,0.00348039534831668,3.10504993994233,3.12297974859459
0.1,Nonwhite,Medium Education,Total,0.142358282223888,0.00630198528305969,0.126125443861249,0.158591120586527
0.1,Nonwhite,Medium Education,Structural,0.0919216673363654,0.00530158555155995,0.0782656879173859,0.105577646755345
0.1,Nonwhite,Medium Education,Characteristics,0.0504366148875226,0.00393865160201717,0.040291320674577,0.0605819091004682
0.2,Nonwhite,Medium Education,Sample,3.36901864217787,,,
0.2,Nonwhite,Medium Education,Counterfactual,3.23839412890415,0.00342039485282238,3.22958377561255,3.24720448219576
0.2,Nonwhite,Medium Education,Total,0.130624513273711,0.00528973077396258,0.116999069738254,0.144249956809168
0.2,Nonwhite,Medium Education,Structural,0.120371757079172,0.00448312952131544,0.108823980686562,0.131919533471781
0.2,Nonwhite,Medium Education,Characteristics,0.0102527561945394,0.00366709422512861,0.000806947430578136,0.0196985649585006
0.3,Nonwhite,Medium Education,Sample,3.47205986684501,,,
0.3,Nonwhite,Medium Education,Counterfactual,3.33778216190437,0.00369450745857739,3.32826574133039,3.34729858247836
0.3,Nonwhite,Medium Education,Total,0.134277704940634,0.0049209019792752,0.121602301422525,0.146953108458743
0.3,Nonwhite,Medium Education,Structural,0.140324411641834,0.00419479178855809,0.129519344030579,0.151129479253088
0.3,Nonwhite,Medium Education,Characteristics,-0.00604670670119933,0.00374389357518295,-0.015690337481524,0.00359692407912536
0.4,Nonwhite,Medium Education,Sample,3.5733132514125,,,
0.4,Nonwhite,Medium Education,Counterfactual,3.42822017715555,0.00372824380022472,3.41861685752415,3.43782349678694
0.4,Nonwhite,Medium Education,Total,0.145093074256958,0.00459667701929623,0.133252818891705,0.156933329622211
0.4,Nonwhite,Medium Education,Structural,0.155943010974694,0.00381971693610385,0.146104072159415,0.165781949789972
0.4,Nonwhite,Medium Education,Characteristics,-0.0108499367177357,0.00380483846127788,-0.0206505511215652,-0.00104932231390624
0.5,Nonwhite,Medium Education,Sample,3.67362460524994,,,
0.5,Nonwhite,Medium Education,Counterfactual,3.51457853478393,0.00386242964886147,3.5046295753115,3.52452749425637
0.5,Nonwhite,Medium Education,Total,0.159046070466006,0.00437613455334235,0.147773894847233,0.170318246084778
0.5,Nonwhite,Medium Education,Structural,0.168544562060901,0.00368024872461355,0.159064869551693,0.178024254570109
0.5,Nonwhite,Medium Education,Characteristics,-0.00949849159489524,0.00397832508877197,-0.0197459779375979,0.000748994747807369
0.6,Nonwhite,Medium Education,Sample,3.77746225421743,,,
0.6,Nonwhite,Medium Education,Counterfactual,3.59983635207175,0.0038861445438101,3.58982630707798,3.60984639706552
0.6,Nonwhite,Medium Education,Total,0.177625902145682,0.00417301842832061,0.166876918993764,0.188374885297599
0.6,Nonwhite,Medium Education,Structural,0.180488191821525,0.00361049007145137,0.171188185695309,0.189788197947742
0.6,Nonwhite,Medium Education,Characteristics,-0.00286228967584368,0.00404040568220092,-0.0132696850302823,0.00754510567859493
0.7,Nonwhite,Medium Education,Sample,3.89111160245017,,,
0.7,Nonwhite,Medium Education,Counterfactual,3.68958927600964,0.00409890385542021,3.67903119934642,3.70014735267286
0.7,Nonwhite,Medium Education,Total,0.201522326440529,0.00454972454302558,0.189803012639528,0.21324164024153
0.7,Nonwhite,Medium Education,Structural,0.194276596269327,0.00417208045652937,0.183530029172635,0.205023163366019
0.7,Nonwhite,Medium Education,Characteristics,0.00724573017120145,0.00427732775891135,-0.00377193601108554,0.0182633963534884
0.8,Nonwhite,Medium Education,Sample,4.02088629181252,,,
0.8,Nonwhite,Medium Education,Counterfactual,3.79041965268969,0.00423007593772457,3.77952369913306,3.80131560624631
0.8,Nonwhite,Medium Education,Total,0.230466639122835,0.0051107122445617,0.217302316761287,0.243630961484383
0.8,Nonwhite,Medium Education,Structural,0.214584419423411,0.00502005665212094,0.201653610393402,0.227515228453419
0.8,Nonwhite,Medium Education,Characteristics,0.0158822196994244,0.0043496042407991,0.00467838163713351,0.0270860577617153
0.9,Nonwhite,Medium Education,Sample,4.22775204140481,,,
0.9,Nonwhite,Medium Education,Counterfactual,3.93342332092825,0.00545094684170007,3.91938261232132,3.94746402953519
0.9,Nonwhite,Medium Education,Total,0.294328720476559,0.00747047674182224,0.275086047573493,0.313571393379625
0.9,Nonwhite,Medium Education,Structural,0.259284356915962,0.00795380866074339,0.238796703492798,0.279772010339126
0.9,Nonwhite,Medium Education,Characteristics,0.0350443635605973,0.00534332928168918,0.0212808594183114,0.0488078677028831
0.1,Nonwhite,High Education,Sample,3.34946856808687,,,
0.1,Nonwhite,High Education,Counterfactual,3.22458646142521,0.0111691907458973,3.195816532605,3.25335639024542
0.1,Nonwhite,High Education,Total,0.124882106661655,0.0148530419139678,0.0866232060528166,0.163141007270493
0.1,Nonwhite,High Education,Structural,0.0994708374674698,0.0125355658721999,0.0671813595572896,0.13176031537765
0.1,Nonwhite,High Education,Characteristics,0.0254112691941852,0.00975203024571494,0.000291703918177521,0.050530834470193
0.2,Nonwhite,High Education,Sample,3.52898866684165,,,
0.2,Nonwhite,High Education,Counterfactual,3.40402827610904,0.00988209484683401,3.37857368662212,3.42948286559597
0.2,Nonwhite,High Education,Total,0.124960390732608,0.0115915173814315,0.0951026205889206,0.154818160876296
0.2,Nonwhite,High Education,Structural,0.114398379471184,0.00933571139414676,0.0903511804926652,0.138445578449702
0.2,Nonwhite,High Education,Characteristics,0.0105620112614244,0.00931117879077648,-0.0134219959184406,0.0345460184412895
0.3,Nonwhite,High Education,Sample,3.66498585282,,,
0.3,Nonwhite,High Education,Counterfactual,3.53234293825654,0.00874841523631361,3.50980851393123,3.55487736258185
0.3,Nonwhite,High Education,Total,0.13264291456346,0.0101036520103462,0.106617631642349,0.15866819748457
0.3,Nonwhite,High Education,Structural,0.12884775962022,0.00782709061047512,0.108686510264225,0.149009008976214
0.3,Nonwhite,High Education,Characteristics,0.00379515494324023,0.00859761643059807,-0.0183508373993678,0.0259411472858482
0.4,Nonwhite,High Education,Sample,3.78686518303414,,,
0.4,Nonwhite,High Education,Counterfactual,3.64173735497161,0.00806552623127619,3.62096193615655,3.66251277378668
0.4,Nonwhite,High Education,Total,0.145127828062527,0.00973772568045491,0.120045108904891,0.170210547220163
0.4,Nonwhite,High Education,Structural,0.14334758148128,0.00729780833952533,0.124549672908647,0.162145490053913
0.4,Nonwhite,High Education,Characteristics,0.00178024658124665,0.00859807547038828,-0.0203669281695045,0.0239274213319978
0.5,Nonwhite,High Education,Sample,3.90180393122462,,,
0.5,Nonwhite,High Education,Counterfactual,3.74207905680918,0.0074198626452991,3.72296675717911,3.76119135643925
0.5,Nonwhite,High Education,Total,0.159724874415439,0.00904846141724116,0.136417582344878,0.183032166486001
0.5,Nonwhite,High Education,Structural,0.157988645744638,0.00670159377664554,0.140726484114273,0.175250807375002
0.5,Nonwhite,High Education,Characteristics,0.00173622867080159,0.00848743696292767,-0.0201259601703316,0.0235984175119348
0.6,Nonwhite,High Education,Sample,4.01612885327345,,,
0.6,Nonwhite,High Education,Counterfactual,3.83987997925591,0.00688437970719114,3.82214699226937,3.85761296624245
0.6,Nonwhite,High Education,Total,0.176248874017539,0.00917766121241762,0.152608785328549,0.199888962706528
0.6,Nonwhite,High Education,Structural,0.171755262804515,0.00667784895130423,0.154554263791072,0.188956261817958
0.6,Nonwhite,High Education,Characteristics,0.00449361121302339,0.00808497829079145,-0.0163319127869539,0.0253191352130007
0.7,Nonwhite,High Education,Sample,4.13313143033443,,,
0.7,Nonwhite,High Education,Counterfactual,3.94165151311123,0.00699317594529467,3.92363828558646,3.95966474063599
0.7,Nonwhite,High Education,Total,0.191479917223205,0.0092652790444898,0.16761413995485,0.215345694491559
0.7,Nonwhite,High Education,Structural,0.186641601128742,0.00737715502785312,0.167639309031175,0.205643893226309
0.7,Nonwhite,High Education,Characteristics,0.00483831609446295,0.00786316335592701,-0.0154158504963258,0.0250924826852517
0.8,Nonwhite,High Education,Sample,4.26948599826529,,,
0.8,Nonwhite,High Education,Counterfactual,4.05527457785247,0.00725579210851534,4.0365848959189,4.07396425978604
0.8,Nonwhite,High Education,Total,0.21421142041282,0.00896825311744355,0.191110731231265,0.237312109594375
0.8,Nonwhite,High Education,Structural,0.207938837061795,0.00830991355274253,0.186533918222683,0.229343755900908
0.8,Nonwhite,High Education,Characteristics,0.00627258335102443,0.00717084754148457,-0.0121982958776131,0.024743462579662
0.9,Nonwhite,High Education,Sample,4.45488045002296,,,
0.9,Nonwhite,High Education,Counterfactual,4.22459472617911,0.0112214893280478,4.19569008513846,4.25349936721975
0.9,Nonwhite,High Education,Total,0.230285723843851,0.0122252281702504,0.198795622880348,0.261775824807353
0.9,Nonwhite,High Education,Structural,0.239056796911197,0.0132254379049493,0.204990326403362,0.273123267419032
0.9,Nonwhite,High Education,Characteristics,-0.00877107306734626,0.00860254825910546,-0.0309297689583437,0.0133876228236511
